"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","01-Jan-2018","        732.40","        732.50","        735.40","        719.50","        721.80","        722.20","        726.76","    1833942","          1332827277.05","      28039","     628997","         34.30"
"TATASTEEL","EQ","02-Jan-2018","        722.20","        724.00","        731.25","        715.25","        730.45","        729.30","        724.61","    2467294","          1787822857.30","      39772","     574294","         23.28"
"TATASTEEL","EQ","03-Jan-2018","        729.30","        732.00","        737.50","        731.25","        734.55","        734.95","        734.62","    2634779","          1935566674.30","      51896","    1074977","         40.80"
"TATASTEEL","EQ","04-Jan-2018","        734.95","        736.50","        763.45","        732.00","        763.45","        760.25","        751.92","    8082986","          6077721303.80","      94258","    2617440","         32.38"
"TATASTEEL","EQ","05-Jan-2018","        760.25","        764.00","        776.90","        762.50","        770.40","        770.70","        771.00","    7136203","          5502015156.40","     117831","    2982677","         41.80"
"TATASTEEL","EQ","08-Jan-2018","        770.70","        777.75","        777.85","        765.00","        768.25","        768.75","        770.22","    2584335","          1990503902.15","      43791","     597314","         23.11"
"TATASTEEL","EQ","09-Jan-2018","        768.75","        770.00","        780.85","        767.00","        770.65","        772.30","        774.28","    3197787","          2475979435.75","      51850","     965965","         30.21"
"TATASTEEL","EQ","10-Jan-2018","        772.30","        771.25","        777.00","        762.90","        773.80","        772.85","        768.50","    2990882","          2298496137.80","      67322","    1092240","         36.52"
"TATASTEEL","EQ","11-Jan-2018","        772.85","        772.85","        777.90","        768.35","        769.00","        770.95","        773.34","    1934937","          1496361329.65","      54449","     636527","         32.90"
"TATASTEEL","EQ","12-Jan-2018","        770.95","        771.20","        776.80","        760.05","        768.10","        770.25","        770.38","    2169940","          1671686055.20","      33115","     425581","         19.61"
"TATASTEEL","EQ","15-Jan-2018","        770.25","        772.00","        793.00","        771.00","        779.65","        783.50","        785.78","    4171663","          3278001108.95","      60536","    1084622","         26.00"
"TATASTEEL","EQ","16-Jan-2018","        783.50","        782.75","        782.75","        760.10","        766.75","        765.75","        769.37","    2791328","          2147565233.00","      43454","     522274","         18.71"
"TATASTEEL","EQ","17-Jan-2018","        765.75","        768.00","        777.95","        757.00","        775.00","        774.00","        767.66","    2988170","          2293890370.30","      53759","     889746","         29.78"
"TATASTEEL","EQ","18-Jan-2018","        774.00","        775.00","        779.85","        746.20","        750.35","        751.75","        757.60","    4616814","          3497711137.55","      70288","    1230960","         26.66"
"TATASTEEL","EQ","19-Jan-2018","        751.75","        752.50","        762.00","        742.50","        753.00","        753.00","        752.40","    3217972","          2421198577.00","      70788","     545847","         16.96"
"TATASTEEL","EQ","22-Jan-2018","        753.00","        752.00","        756.40","        747.35","        753.55","        752.20","        751.66","    3605727","          2710271411.75","      54163","    2008322","         55.70"
"TATASTEEL","EQ","23-Jan-2018","        752.20","        752.00","        787.10","        752.00","        780.25","        779.75","        777.27","    8036841","          6246780029.00","     108348","    3258712","         40.55"
"TATASTEEL","EQ","24-Jan-2018","        779.75","        780.50","        780.60","        757.15","        762.00","        762.10","        768.25","    4935129","          3791403220.75","     135381","    2481568","         50.28"
"TATASTEEL","EQ","25-Jan-2018","        762.10","        765.00","        773.10","        758.25","        768.75","        769.15","        767.46","    8397681","          6444874344.15","      78637","    5726109","         68.19"
"TATASTEEL","EQ","29-Jan-2018","        769.15","        771.00","        791.80","        770.15","        783.70","        783.15","        785.15","    6508012","          5109763296.85","     108384","    3207138","         49.28"
"TATASTEEL","EQ","30-Jan-2018","        783.15","        780.60","        783.90","        771.25","        781.00","        775.85","        775.87","    6019374","          4670232414.00","      85046","    3573448","         59.37"
"TATASTEEL","EQ","31-Jan-2018","        775.85","        735.50","        747.90","        701.70","        706.60","        705.05","        720.42","   12958902","          9335878228.05","     176718","    3691336","         28.48"
"TATASTEEL","EQ","01-Feb-2018","        705.05","        708.00","        712.75","        681.60","        695.05","        696.75","        696.23","    7403931","          5154804699.90","     106412","    2556348","         34.53"
"TATASTEEL","EQ","02-Feb-2018","        696.75","        692.00","        693.00","        666.05","        668.85","        670.45","        680.74","    6500926","          4425409641.00","      82868","    2426292","         37.32"
"TATASTEEL","EQ","05-Feb-2018","        670.45","        661.00","        674.50","        650.50","        666.00","        664.05","        662.66","    4698722","          3113655797.45","      73444","    1827172","         38.89"
"TATASTEEL","EQ","06-Feb-2018","        664.05","        641.00","        679.00","        632.55","        666.20","        664.50","        655.82","    6704557","          4397002362.95","      97327","    2001480","         29.85"
"TATASTEEL","EQ","07-Feb-2018","        664.50","        668.00","        682.20","        657.00","        659.10","        661.80","        668.19","    6789521","          4536718207.90","     110553","    2605293","         38.37"
"TATASTEEL","EQ","08-Feb-2018","        661.80","        660.05","        677.00","        654.00","        673.00","        671.45","        665.40","    5845590","          3889670064.55","      84817","    1250275","         21.39"
"TATASTEEL","EQ","09-Feb-2018","        671.45","        663.70","        690.00","        660.15","        684.55","        685.30","        681.94","    9140288","          6233154968.80","     140463","    1931577","         21.13"
"TATASTEEL","EQ","12-Feb-2018","        685.30","        716.00","        716.90","        697.40","        713.70","        713.10","        710.44","   12036307","          8551083029.10","     153682","    1712694","         14.23"
"TATASTEEL","EQ","14-Feb-2018","        713.10","        719.30","        720.50","        704.55","        708.60","        708.00","        713.33","    4885951","          3485280748.40","      71409","    1208003","         24.72"
"TATASTEEL","EQ","15-Feb-2018","        708.00","        711.35","        719.15","        697.25","        703.00","        700.55","        708.85","    5131245","          3637299446.60","      78568","    1538113","         29.98"
"TATASTEEL","EQ","16-Feb-2018","        700.55","        708.00","        709.50","        683.60","        688.00","        689.75","        693.91","    5012760","          3478399324.55","      63048","    1270333","         25.34"
"TATASTEEL","EQ","19-Feb-2018","        689.75","        693.40","        693.40","        639.00","        649.00","        648.85","        654.52","   17658708","         11558048417.40","     175871","    5760059","         32.62"
"TATASTEEL","EQ","20-Feb-2018","        648.85","        654.80","        661.50","        648.15","        651.20","        651.30","        654.56","   10214478","          6686023349.05","     126134","    3463726","         33.91"
"TATASTEEL","EQ","21-Feb-2018","        651.30","        654.90","        655.55","        633.00","        643.50","        640.95","        640.92","   10307539","          6606358204.25","     131334","    4467629","         43.34"
"TATASTEEL","EQ","22-Feb-2018","        640.95","        640.35","        647.80","        632.85","        636.10","        637.55","        641.10","    8950631","          5738277047.10","     119172","    3204004","         35.80"
