"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","01-Jan-2020","        245.80","        246.50","        248.65","        246.20","        247.65","        247.70","        247.76","    1413866","           350293363.05","      14240","     288194","         20.38"
"WIPRO","EQ","02-Jan-2020","        247.70","        246.60","        249.90","        246.35","        248.35","        248.30","        248.39","    1443966","           358670699.90","      19476","     592368","         41.02"
"WIPRO","EQ","03-Jan-2020","        248.30","        249.50","        252.70","        247.35","        251.00","        251.10","        250.99","    3381404","           848688995.10","      38677","     801622","         23.71"
"WIPRO","EQ","06-Jan-2020","        251.10","        251.00","        254.45","        250.15","        251.95","        252.15","        252.40","    4566695","          1152636703.85","      42374","    1618322","         35.44"
"WIPRO","EQ","07-Jan-2020","        252.15","        253.25","        256.35","        250.20","        255.00","        255.20","        254.01","    4402787","          1118330017.90","      39798","    1499975","         34.07"
"WIPRO","EQ","08-Jan-2020","        255.20","        254.00","        256.15","        252.55","        254.60","        254.80","        254.57","    2794410","           711375621.45","      33853","     975070","         34.89"
"WIPRO","EQ","09-Jan-2020","        254.80","        254.25","        256.50","        252.65","        255.00","        253.65","        254.33","    2495023","           634552359.35","      28366","     885016","         35.47"
"WIPRO","EQ","10-Jan-2020","        253.65","        253.95","        255.20","        251.00","        251.95","        251.75","        253.15","    2056577","           520621896.15","      31607","     827981","         40.26"
"WIPRO","EQ","13-Jan-2020","        251.75","        254.00","        257.90","        252.85","        255.30","        254.80","        255.37","    6963599","          1778262374.90","      56180","    2651477","         38.08"
"WIPRO","EQ","14-Jan-2020","        254.80","        256.85","        258.35","        254.55","        256.00","        257.20","        256.53","    7296777","          1871850317.20","      62567","    2040677","         27.97"
"WIPRO","EQ","15-Jan-2020","        257.20","        254.00","        256.00","        246.60","        248.20","        248.25","        248.86","   10140451","          2523542001.80","      82450","    2235509","         22.05"
"WIPRO","EQ","16-Jan-2020","        248.25","        248.00","        252.60","        247.00","        250.30","        250.45","        250.14","    8811836","          2204192485.80","      63303","    4702404","         53.36"
"WIPRO","EQ","17-Jan-2020","        250.45","        252.00","        253.90","        249.65","        250.85","        251.10","        251.84","    4140818","          1042822124.95","      38092","    1785570","         43.12"
"WIPRO","EQ","20-Jan-2020","        251.10","        250.80","        250.80","        247.20","        248.20","        248.00","        248.48","    1908583","           474250615.65","      19877","     541644","         28.38"
