"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJFINSV","EQ","01-Jan-2020","       9393.35","       9420.00","       9432.45","       9351.95","       9371.35","       9378.45","       9386.28","      63668","           597605431.10","       7532","       9700","         15.24"
"BAJAJFINSV","EQ","02-Jan-2020","       9378.45","       9378.50","       9530.95","       9378.45","       9525.00","       9505.60","       9474.82","     157891","          1495989408.15","      13307","      65379","         41.41"
"BAJAJFINSV","EQ","03-Jan-2020","       9505.60","       9465.00","       9504.60","       9324.00","       9352.00","       9345.85","       9395.24","     182479","          1714433092.95","      21847","      43650","         23.92"
"BAJAJFINSV","EQ","06-Jan-2020","       9345.85","       9339.00","       9339.00","       9022.00","       9029.00","       9042.70","       9118.93","     244289","          2227654498.60","      29396","      66207","         27.10"
"BAJAJFINSV","EQ","07-Jan-2020","       9042.70","       9125.00","       9265.00","       9065.05","       9080.00","       9095.65","       9141.52","     242676","          2218427376.30","      23159","      26715","         11.01"
"BAJAJFINSV","EQ","08-Jan-2020","       9095.65","       8971.00","       9166.85","       8961.60","       9144.00","       9145.50","       9092.38","     269718","          2452378749.35","      24581","      26407","          9.79"
"BAJAJFINSV","EQ","09-Jan-2020","       9145.50","       9499.90","       9499.90","       9209.00","       9375.10","       9395.25","       9339.60","     214197","          2000515204.25","      26850","      42599","         19.89"
"BAJAJFINSV","EQ","10-Jan-2020","       9395.25","       9375.15","       9434.85","       9338.30","       9362.00","       9372.25","       9386.14","     139393","          1308362223.15","      16472","      24298","         17.43"
"BAJAJFINSV","EQ","13-Jan-2020","       9372.25","       9399.80","       9468.00","       9365.00","       9462.00","       9455.25","       9429.84","     150713","          1421200133.50","      19247","      56707","         37.63"
"BAJAJFINSV","EQ","14-Jan-2020","       9455.25","       9446.00","       9579.80","       9405.30","       9574.00","       9554.85","       9505.83","     162899","          1548489671.90","      18883","      55995","         34.37"
"BAJAJFINSV","EQ","15-Jan-2020","       9554.85","       9539.85","       9619.00","       9501.60","       9586.00","       9589.15","       9574.05","     137230","          1313847500.05","      16401","      29095","         21.20"
"BAJAJFINSV","EQ","16-Jan-2020","       9589.15","       9590.00","       9640.00","       9565.05","       9635.00","       9622.15","       9606.07","     135782","          1304331085.80","      16182","      45561","         33.55"
"BAJAJFINSV","EQ","17-Jan-2020","       9622.15","       9614.00","       9740.30","       9601.00","       9725.00","       9715.00","       9678.16","     284129","          2749845254.70","      24884","     169199","         59.55"
"BAJAJFINSV","EQ","20-Jan-2020","       9715.00","       9725.00","       9764.35","       9550.00","       9594.00","       9572.75","       9662.79","     184198","          1779865725.40","      19202","      71885","         39.03"
"BAJAJFINSV","EQ","21-Jan-2020","       9572.75","       9583.95","       9625.00","       9508.20","       9572.45","       9534.30","       9571.81","     174507","          1670347638.00","      22520","      54486","         31.22"
"BAJAJFINSV","EQ","22-Jan-2020","       9534.30","       9590.00","       9600.00","       9495.00","       9545.00","       9547.50","       9554.71","     139525","          1333120746.20","      12824","      61731","         44.24"
"BAJAJFINSV","EQ","23-Jan-2020","       9547.50","       9547.50","       9596.00","       9484.15","       9509.40","       9534.20","       9543.09","     181280","          1729972042.10","      15995","      54561","         30.10"
"BAJAJFINSV","EQ","24-Jan-2020","       9534.20","       9519.20","       9650.00","       9480.10","       9628.90","       9633.75","       9586.40","     123978","          1188502944.30","      14622","      32224","         25.99"
"BAJAJFINSV","EQ","27-Jan-2020","       9633.75","       9590.00","       9648.90","       9535.00","       9550.45","       9557.60","       9597.49","     113128","          1085744626.45","      18052","      29555","         26.13"
"BAJAJFINSV","EQ","28-Jan-2020","       9557.60","       9557.60","       9710.00","       9530.00","       9646.00","       9631.30","       9632.53","     190469","          1834697646.00","      27397","      57685","         30.29"
"BAJAJFINSV","EQ","29-Jan-2020","       9631.30","       9649.00","       9929.00","       9649.00","       9924.00","       9894.25","       9807.54","     501913","          4922531177.40","      64178","     144258","         28.74"
