"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LT","EQ","01-Jan-2018","       1258.25","       1261.00","       1274.00","       1255.90","       1260.00","       1260.70","       1264.26","    2048058","          2589282523.50","      75061","    1251925","         61.13"
"LT","EQ","02-Jan-2018","       1260.70","       1267.00","       1269.90","       1242.85","       1251.90","       1249.75","       1252.47","    1512324","          1894138646.60","      51512","     659842","         43.63"
"LT","EQ","03-Jan-2018","       1249.75","       1255.90","       1283.95","       1251.50","       1283.00","       1275.30","       1266.49","    2720736","          3445795890.45","     105904","    1617287","         59.44"
"LT","EQ","04-Jan-2018","       1275.30","       1284.95","       1320.00","       1280.10","       1313.30","       1315.70","       1304.37","    4546456","          5930257996.75","     118456","    2323244","         51.10"
"LT","EQ","05-Jan-2018","       1315.70","       1325.00","       1328.95","       1308.00","       1311.40","       1314.90","       1318.26","    2418902","          3188743292.80","      78878","    1294017","         53.50"
"LT","EQ","08-Jan-2018","       1314.90","       1316.50","       1345.95","       1316.50","       1335.00","       1338.25","       1334.54","    3513256","          4688586120.35","     105523","    2241135","         63.79"
"LT","EQ","09-Jan-2018","       1338.25","       1340.00","       1343.00","       1326.40","       1331.50","       1332.75","       1333.15","    1703294","          2270752090.75","      84308","    1048615","         61.56"
"LT","EQ","10-Jan-2018","       1332.75","       1332.20","       1336.50","       1317.65","       1322.90","       1323.75","       1324.82","    1098019","          1454679807.20","      52674","     590490","         53.78"
"LT","EQ","11-Jan-2018","       1323.75","       1320.20","       1326.80","       1313.05","       1321.85","       1323.55","       1321.61","    1232290","          1628603393.80","      75891","     728234","         59.10"
"LT","EQ","12-Jan-2018","       1323.55","       1325.50","       1332.30","       1309.75","       1330.00","       1329.15","       1325.28","    1825056","          2418704345.65","      80506","    1040513","         57.01"
"LT","EQ","15-Jan-2018","       1329.15","       1334.85","       1351.20","       1323.60","       1329.00","       1325.95","       1336.87","    2386631","          3190619654.55","      93150","    1466276","         61.44"
"LT","EQ","16-Jan-2018","       1325.95","       1331.05","       1339.65","       1323.35","       1325.00","       1326.20","       1329.80","    3139385","          4174763950.85","     123188","    2325569","         74.08"
"LT","EQ","17-Jan-2018","       1326.20","       1323.00","       1357.00","       1320.25","       1356.00","       1353.35","       1338.79","    2724814","          3647949253.65","     102412","    1710045","         62.76"
"LT","EQ","18-Jan-2018","       1353.35","       1360.00","       1385.00","       1350.45","       1362.35","       1360.80","       1371.72","    4966982","          6813316150.65","     160125","    3499126","         70.45"
"LT","EQ","19-Jan-2018","       1360.80","       1362.00","       1378.65","       1353.50","       1372.95","       1371.45","       1370.68","    2127776","          2916497487.00","      76512","    1185828","         55.73"
"LT","EQ","22-Jan-2018","       1371.45","       1289.20","       1403.65","       1289.20","       1399.00","       1398.85","       1379.48","    3067658","          4231759352.95","      94858","    1491755","         48.63"
"LT","EQ","23-Jan-2018","       1398.85","       1406.00","       1415.00","       1393.10","       1412.60","       1410.70","       1404.04","    4804202","          6745269208.40","     141924","    3171549","         66.02"
"LT","EQ","24-Jan-2018","       1410.70","       1407.10","       1409.80","       1389.80","       1400.45","       1401.20","       1400.46","    2147973","          3008151918.15","      96490","    1323446","         61.61"
"LT","EQ","25-Jan-2018","       1401.20","       1392.00","       1427.05","       1392.00","       1417.65","       1416.50","       1415.78","    6113475","          8655319975.80","     132067","    3876187","         63.40"
"LT","EQ","29-Jan-2018","       1416.50","       1418.00","       1441.65","       1418.00","       1432.95","       1431.95","       1432.46","    2945415","          4219201597.25","     119333","    1976739","         67.11"
"LT","EQ","30-Jan-2018","       1431.95","       1429.95","       1436.70","       1406.75","       1432.00","       1429.90","       1421.02","    1988140","          2825186954.20","      63872","     961517","         48.36"
"LT","EQ","31-Jan-2018","       1429.90","       1431.90","       1439.70","       1412.00","       1424.90","       1416.50","       1420.05","    2614515","          3712754565.80","      81361","    1416158","         54.17"
"LT","EQ","01-Feb-2018","       1416.50","       1458.90","       1470.00","       1405.20","       1458.00","       1455.60","       1452.65","    8187730","         11893935611.75","     187367","    3735951","         45.63"
"LT","EQ","02-Feb-2018","       1455.60","       1448.00","       1448.00","       1410.05","       1415.00","       1415.45","       1425.42","    3621563","          5162262411.95","     142561","    2157444","         59.57"
"LT","EQ","05-Feb-2018","       1415.45","       1380.00","       1400.00","       1355.10","       1367.30","       1363.65","       1374.45","    3060688","          4206751508.20","      88542","    1764779","         57.66"
"LT","EQ","06-Feb-2018","       1363.65","       1319.95","       1372.35","       1294.25","       1351.25","       1353.05","       1345.35","    4230633","          5691667923.10","     135433","    2238102","         52.90"
"LT","EQ","07-Feb-2018","       1353.05","       1370.00","       1370.00","       1330.00","       1332.00","       1333.75","       1343.68","    2927403","          3933505358.90","     108425","    1476652","         50.44"
"LT","EQ","08-Feb-2018","       1333.75","       1345.00","       1359.50","       1333.00","       1346.45","       1347.40","       1349.63","    1932082","          2607595766.65","      61396","    1067891","         55.27"
"LT","EQ","09-Feb-2018","       1347.40","       1324.80","       1343.00","       1318.10","       1330.00","       1329.25","       1329.21","    2029257","          2697306031.40","      74036","     945225","         46.58"
"LT","EQ","12-Feb-2018","       1329.25","       1334.55","       1355.00","       1334.55","       1350.00","       1350.50","       1349.46","    1543603","          2083028298.20","      68005","     754285","         48.87"
"LT","EQ","14-Feb-2018","       1350.50","       1354.70","       1372.50","       1345.60","       1347.05","       1361.20","       1361.20","    2310144","          3144572730.00","      72068","    1435320","         62.13"
"LT","EQ","15-Feb-2018","       1361.20","       1364.40","       1370.00","       1346.40","       1350.00","       1350.35","       1359.62","    1861841","          2531395019.25","      53587","    1034010","         55.54"
"LT","EQ","16-Feb-2018","       1350.35","       1358.00","       1364.00","       1320.45","       1330.00","       1328.40","       1342.35","    1424576","          1912276609.80","      39401","     485071","         34.05"
