"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","01-Jan-2020","       7368.60","       7377.00","       7409.95","       7282.05","       7308.00","       7311.70","       7339.10","     634725","          4658307412.85","      42182","      94094","         14.82"
"MARUTI","EQ","02-Jan-2020","       7311.70","       7327.60","       7368.00","       7312.00","       7316.45","       7329.85","       7339.32","     616838","          4527173729.35","      51801","     173302","         28.10"
"MARUTI","EQ","03-Jan-2020","       7329.85","       7328.95","       7332.00","       7226.00","       7250.35","       7254.25","       7275.61","     571967","          4161407040.80","      42037","     152281","         26.62"
"MARUTI","EQ","06-Jan-2020","       7254.25","       7200.00","       7210.00","       7026.50","       7032.00","       7042.40","       7074.03","     748516","          5295028129.05","      64186","     235356","         31.44"
"MARUTI","EQ","07-Jan-2020","       7042.40","       7100.00","       7165.60","       7026.40","       7075.00","       7073.60","       7089.61","     590500","          4186415011.40","      50872","     113291","         19.19"
"MARUTI","EQ","08-Jan-2020","       7073.60","       7060.00","       7116.65","       6980.45","       7035.00","       7035.20","       7034.09","     793313","          5580233047.20","      54674","     254739","         32.11"
"MARUTI","EQ","09-Jan-2020","       7035.20","       7140.00","       7240.00","       7102.00","       7240.00","       7227.90","       7180.72","     798184","          5731536546.55","      60422","     212618","         26.64"
"MARUTI","EQ","10-Jan-2020","       7227.90","       7261.40","       7349.90","       7234.40","       7329.00","       7330.50","       7299.43","     747847","          5458857956.80","      59339","     267982","         35.83"
"MARUTI","EQ","13-Jan-2020","       7330.50","       7332.00","       7370.00","       7279.80","       7364.00","       7352.70","       7325.48","     537399","          3936703056.85","      45690","     165929","         30.88"
"MARUTI","EQ","14-Jan-2020","       7352.70","       7355.00","       7412.40","       7325.60","       7390.00","       7386.80","       7377.09","     548522","          4046494825.80","      46069","     179085","         32.65"
"MARUTI","EQ","15-Jan-2020","       7386.80","       7388.95","       7505.00","       7353.00","       7482.00","       7482.95","       7419.98","     692726","          5140014822.30","      46714","     265556","         38.33"
"MARUTI","EQ","16-Jan-2020","       7482.95","       7456.50","       7521.00","       7421.20","       7469.90","       7462.65","       7466.23","     640207","          4779933299.20","      45686","     220985","         34.52"
"MARUTI","EQ","17-Jan-2020","       7462.65","       7469.00","       7569.90","       7432.55","       7550.85","       7520.15","       7499.26","     750738","          5629978077.55","      49650","     316998","         42.22"
"MARUTI","EQ","20-Jan-2020","       7520.15","       7521.25","       7529.50","       7421.05","       7440.00","       7449.60","       7468.19","     407828","          3045737844.20","      37148","     138592","         33.98"
