"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","01-Jan-2018","       1042.05","       1037.70","       1044.50","       1030.00","       1032.15","       1033.55","       1036.23","    2715670","          2814045584.35","      65839","    1776744","         65.43"
"INFY","EQ","02-Jan-2018","       1033.55","       1037.25","       1042.00","       1023.00","       1028.30","       1029.70","       1031.43","    3056124","          3152175058.55","     122157","    2066488","         67.62"
"INFY","EQ","03-Jan-2018","       1029.70","       1028.50","       1031.60","       1018.60","       1022.00","       1021.30","       1022.55","    3423276","          3500475318.80","     132588","    2428553","         70.94"
"INFY","EQ","04-Jan-2018","       1021.30","       1021.00","       1021.00","       1009.60","       1015.00","       1015.40","       1014.48","    4473807","          4538566058.10","      81236","    3101206","         69.32"
"INFY","EQ","05-Jan-2018","       1015.40","       1015.30","       1026.40","       1006.00","       1014.25","       1012.00","       1012.92","    5512988","          5584193773.75","     134727","    3907486","         70.88"
"INFY","EQ","08-Jan-2018","       1012.00","       1024.90","       1039.00","       1020.05","       1035.20","       1036.05","       1029.31","    2797345","          2879337346.20","      73704","    1672022","         59.77"
"INFY","EQ","09-Jan-2018","       1036.05","       1040.00","       1044.90","       1028.90","       1039.00","       1041.35","       1036.46","    4974118","          5155470378.90","     119611","    3285996","         66.06"
"INFY","EQ","10-Jan-2018","       1041.35","       1046.80","       1056.00","       1033.05","       1053.00","       1052.25","       1043.96","    4734317","          4942421495.65","     100562","    2588309","         54.67"
"INFY","EQ","11-Jan-2018","       1052.25","       1055.25","       1083.40","       1055.25","       1076.50","       1075.80","       1069.86","    8387735","          8973696876.15","     134085","    5432620","         64.77"
"INFY","EQ","12-Jan-2018","       1075.80","       1085.80","       1085.90","       1070.55","       1078.65","       1078.45","       1077.02","    9008264","          9702068540.55","     138377","    6331013","         70.28"
"INFY","EQ","15-Jan-2018","       1078.45","       1080.00","       1092.95","       1065.10","       1081.00","       1081.15","       1080.89","    5324625","          5755343848.60","     132189","    2580059","         48.46"
"INFY","EQ","16-Jan-2018","       1081.15","       1081.25","       1134.80","       1081.25","       1125.00","       1122.85","       1116.71","   11323483","         12645064683.75","     222629","    5830742","         51.49"
"INFY","EQ","17-Jan-2018","       1122.85","       1124.85","       1161.80","       1123.00","       1148.00","       1152.10","       1150.95","   13077044","         15051075122.95","     331838","    8123219","         62.12"
"INFY","EQ","18-Jan-2018","       1152.10","       1145.00","       1164.90","       1132.10","       1152.00","       1152.70","       1148.19","    6602485","          7580886446.15","     148758","    4382098","         66.37"
"INFY","EQ","19-Jan-2018","       1152.70","       1145.00","       1147.90","       1136.00","       1145.90","       1143.45","       1142.09","    2994139","          3419578449.60","     104184","    1946826","         65.02"
"INFY","EQ","22-Jan-2018","       1143.45","       1132.15","       1156.95","       1132.00","       1148.10","       1150.00","       1144.31","    4825107","          5521427259.10","     136884","    3164249","         65.58"
"INFY","EQ","23-Jan-2018","       1150.00","       1155.00","       1188.00","       1155.00","       1176.00","       1177.10","       1176.85","    7701898","          9063945901.15","     178542","    4413789","         57.31"
"INFY","EQ","24-Jan-2018","       1177.10","       1174.80","       1221.05","       1167.50","       1182.85","       1185.80","       1195.52","   10302359","         12316700909.55","     204464","    5942177","         57.68"
"INFY","EQ","25-Jan-2018","       1185.80","       1182.00","       1183.40","       1162.25","       1173.70","       1175.40","       1171.54","    6774457","          7936550004.00","     137327","    4319803","         63.77"
"INFY","EQ","29-Jan-2018","       1175.40","       1166.55","       1196.25","       1165.20","       1180.55","       1182.90","       1185.12","    5411501","          6413293459.50","     188700","    3575679","         66.08"
"INFY","EQ","30-Jan-2018","       1182.90","       1178.90","       1183.10","       1162.70","       1168.00","       1170.65","       1169.32","    4314156","          5044647006.50","     139977","    2953957","         68.47"
"INFY","EQ","31-Jan-2018","       1170.65","       1159.15","       1166.60","       1142.15","       1149.10","       1150.25","       1153.93","    4606849","          5315999681.30","     118772","    3306082","         71.76"
"INFY","EQ","01-Feb-2018","       1150.25","       1142.20","       1157.90","       1118.55","       1144.00","       1144.60","       1141.19","    6502727","          7420853135.00","     147460","    3808868","         58.57"
"INFY","EQ","02-Feb-2018","       1144.60","       1135.25","       1162.90","       1130.10","       1145.30","       1143.25","       1144.88","    5122243","          5864360399.80","     112441","    3377137","         65.93"
"INFY","EQ","05-Feb-2018","       1143.25","       1140.00","       1154.85","       1135.85","       1139.90","       1138.20","       1143.33","    4930110","          5636743205.35","     146880","    3737354","         75.81"
"INFY","EQ","06-Feb-2018","       1138.20","       1099.95","       1128.35","       1095.15","       1111.40","       1107.75","       1113.87","    5276039","          5876800708.65","     136315","    3479245","         65.94"
"INFY","EQ","07-Feb-2018","       1107.75","       1116.00","       1124.80","       1103.55","       1108.00","       1109.05","       1113.49","    4171028","          4644378627.35","     147324","    2763817","         66.26"
"INFY","EQ","08-Feb-2018","       1109.05","       1122.80","       1146.40","       1116.55","       1133.00","       1134.25","       1138.52","    4403622","          5013613141.40","     105295","    2891380","         65.66"
"INFY","EQ","09-Feb-2018","       1134.25","       1118.00","       1120.30","       1106.00","       1112.00","       1109.15","       1112.64","    2191345","          2438184785.65","      88836","    1186875","         54.16"
"INFY","EQ","12-Feb-2018","       1109.15","       1114.80","       1120.60","       1097.80","       1101.00","       1102.80","       1106.85","    3145986","          3482147219.55","      52343","    1986846","         63.15"
