"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","01-Jan-2019","        658.95","        660.95","        666.30","        654.15","        665.95","        665.05","        660.66","    2943390","          1944579422.55","      45422","    1282161","         43.56"
"INFY","EQ","02-Jan-2019","        665.05","        666.00","        674.00","        662.05","        668.00","        669.05","        669.97","    7416655","          4968962632.60","     108094","    3880800","         52.33"
"INFY","EQ","03-Jan-2019","        669.05","        672.00","        677.00","        663.10","        668.00","        669.15","        669.66","    6827249","          4571929258.25","     125781","    3676359","         53.85"
"INFY","EQ","04-Jan-2019","        669.15","        671.75","        673.90","        651.00","        660.25","        661.05","        660.17","    7889310","          5208304588.70","     187590","    3747741","         47.50"
"INFY","EQ","07-Jan-2019","        661.05","        665.00","        673.60","        661.50","        671.70","        671.70","        667.51","    8046340","          5370973786.60","     132736","    4711672","         58.56"
"INFY","EQ","08-Jan-2019","        671.70","        674.95","        677.45","        668.55","        670.00","        670.05","        672.86","    8621545","          5801122719.75","     134369","    5652959","         65.57"
"INFY","EQ","09-Jan-2019","        670.05","        686.20","        689.80","        664.00","        675.60","        676.10","        678.41","   18130292","         12299738074.80","     314702","    8029281","         44.29"
"INFY","EQ","10-Jan-2019","        676.10","        681.60","        682.00","        672.55","        680.80","        679.70","        677.63","    9572493","          6486610275.85","     141449","    6064060","         63.35"
"INFY","EQ","11-Jan-2019","        679.70","        680.20","        685.50","        672.50","        684.35","        683.50","        679.18","   12281903","          8341603861.10","     159694","    6409592","         52.19"
"INFY","EQ","14-Jan-2019","        683.50","        707.00","        710.20","        695.95","        701.30","        701.90","        701.27","   19312937","         13543620376.15","     289248","    7316609","         37.88"
"INFY","EQ","15-Jan-2019","        701.90","        707.20","        730.00","        707.20","        728.30","        726.60","        721.52","   19671304","         14193222353.15","     285205","    8770235","         44.58"
"INFY","EQ","16-Jan-2019","        726.60","        729.90","        737.80","        728.50","        735.95","        736.80","        734.12","    9658944","          7090838080.10","     175301","    3769918","         39.03"
"INFY","EQ","17-Jan-2019","        736.80","        735.80","        739.00","        729.10","        733.20","        733.35","        733.06","    6903771","          5060865130.15","     155361","    3662842","         53.06"
"INFY","EQ","18-Jan-2019","        733.35","        730.00","        736.20","        726.30","        734.00","        730.95","        730.43","    5902151","          4311101798.25","     117506","    3555997","         60.25"
"INFY","EQ","21-Jan-2019","        730.95","        738.20","        751.00","        734.00","        743.25","        745.00","        744.87","    8129422","          6055327086.30","     207759","    4205100","         51.73"
"INFY","EQ","22-Jan-2019","        745.00","        741.25","        749.00","        734.00","        747.00","        745.35","        739.94","    6723375","          4974904338.90","     184880","    4348471","         64.68"
"INFY","EQ","23-Jan-2019","        745.35","        742.35","        742.60","        729.20","        731.65","        731.65","        735.70","    7212099","          5305910421.70","     114457","    4265475","         59.14"
"INFY","EQ","24-Jan-2019","        731.65","        728.10","        736.10","        721.00","        734.00","        732.00","        727.66","    7429783","          5406365017.90","     138534","    3721327","         50.09"
"INFY","EQ","25-Jan-2019","        732.00","        728.00","        737.90","        724.25","        730.30","        730.35","        731.70","    5543112","          4055912046.45","      86157","    3056302","         55.14"
"INFY","EQ","28-Jan-2019","        730.35","        731.00","        732.60","        719.00","        731.00","        727.95","        725.12","    7944693","          5760882919.00","     128705","    5442114","         68.50"
"INFY","EQ","29-Jan-2019","        727.95","        725.50","        732.85","        716.50","        730.05","        727.90","        721.76","    6760819","          4879714902.60","     137242","    4100300","         60.65"
"INFY","EQ","30-Jan-2019","        727.90","        727.90","        734.80","        721.10","        724.30","        725.90","        726.45","    5763026","          4186556191.95","     125751","    3267862","         56.70"
"INFY","EQ","31-Jan-2019","        725.90","        726.00","        751.30","        726.00","        750.00","        749.55","        744.47","   13825233","         10292423934.85","     265809","    8145259","         58.92"
"INFY","EQ","01-Feb-2019","        749.55","        751.35","        762.50","        744.50","        756.70","        757.05","        753.37","    6276585","          4728608322.00","     119145","    2274954","         36.25"
"INFY","EQ","04-Feb-2019","        757.05","        757.00","        762.50","        749.20","        755.90","        755.90","        754.39","    3945391","          2976361896.65","     110537","    1894178","         48.01"
"INFY","EQ","05-Feb-2019","        755.90","        747.00","        759.95","        747.00","        755.00","        754.85","        753.48","    4694366","          3537094842.65","      98651","    2610466","         55.61"
"INFY","EQ","06-Feb-2019","        754.85","        755.55","        766.95","        754.35","        763.75","        763.30","        762.75","    5880482","          4485360735.15","     150791","    3188901","         54.23"
"INFY","EQ","07-Feb-2019","        763.30","        763.05","        769.45","        761.00","        763.00","        764.00","        766.20","    3961797","          3035522378.45","     102039","    2154773","         54.39"
"INFY","EQ","08-Feb-2019","        764.00","        760.00","        772.25","        754.90","        760.90","        760.90","        763.40","    5915169","          4515625944.30","      92824","    2722938","         46.03"
"INFY","EQ","11-Feb-2019","        760.90","        766.90","        768.75","        759.00","        760.45","        762.80","        764.82","    5500216","          4206653296.00","     101154","    3149841","         57.27"
"INFY","EQ","12-Feb-2019","        762.80","        760.35","        760.35","        741.00","        750.40","        750.45","        748.38","    7310690","          5471189240.60","     148513","    3259568","         44.59"
