"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDUSINDBK","EQ","01-Jan-2018","       1648.90","       1652.00","       1655.95","       1618.10","       1620.40","       1623.85","       1633.48","     771099","          1259576725.75","      31522","     558318","         72.41"
"INDUSINDBK","EQ","02-Jan-2018","       1623.85","       1626.30","       1647.00","       1626.10","       1647.00","       1643.95","       1639.22","    1392045","          2281863698.50","      44560","    1120248","         80.47"
"INDUSINDBK","EQ","03-Jan-2018","       1643.95","       1649.00","       1650.00","       1624.00","       1635.50","       1630.25","       1641.62","    1120860","          1840027486.80","      49302","     907637","         80.98"
"INDUSINDBK","EQ","04-Jan-2018","       1630.25","       1638.00","       1652.50","       1631.00","       1650.35","       1646.60","       1643.78","     747232","          1228285631.15","      46281","     598674","         80.12"
"INDUSINDBK","EQ","05-Jan-2018","       1646.60","       1645.00","       1703.00","       1643.50","       1700.00","       1698.20","       1679.90","    1134406","          1905686720.80","      48030","     668002","         58.89"
"INDUSINDBK","EQ","08-Jan-2018","       1698.20","       1711.00","       1724.00","       1700.10","       1720.00","       1719.90","       1716.33","    1489032","          2555675148.20","      84812","    1014582","         68.14"
"INDUSINDBK","EQ","09-Jan-2018","       1719.90","       1725.00","       1729.95","       1706.75","       1725.00","       1725.05","       1717.65","     576106","           989549310.65","      28455","     332355","         57.69"
"INDUSINDBK","EQ","10-Jan-2018","       1725.05","       1724.95","       1742.55","       1711.15","       1735.00","       1734.10","       1729.65","    1223879","          2116885675.55","      29704","     779414","         63.68"
"INDUSINDBK","EQ","11-Jan-2018","       1734.10","       1740.00","       1752.00","       1685.00","       1700.70","       1700.30","       1720.58","    4145613","          7132877557.40","     131857","    1379878","         33.29"
"INDUSINDBK","EQ","12-Jan-2018","       1700.30","       1710.00","       1720.45","       1688.00","       1701.50","       1705.25","       1703.86","    2057925","          3506421626.25","      68243","    1038660","         50.47"
"INDUSINDBK","EQ","15-Jan-2018","       1705.25","       1707.10","       1710.30","       1675.00","       1686.00","       1682.40","       1687.97","     997313","          1683437514.30","      47690","     510344","         51.17"
"INDUSINDBK","EQ","16-Jan-2018","       1682.40","       1691.75","       1692.00","       1660.00","       1668.00","       1664.60","       1674.40","     829183","          1388383586.15","      47788","     520656","         62.79"
"INDUSINDBK","EQ","17-Jan-2018","       1664.60","       1664.10","       1678.75","       1645.40","       1661.70","       1657.45","       1660.22","     600044","           996204230.55","      29535","     301415","         50.23"
"INDUSINDBK","EQ","18-Jan-2018","       1657.45","       1679.00","       1707.00","       1667.00","       1679.75","       1680.10","       1692.18","    2327815","          3939072034.05","      78479","    1471957","         63.23"
"INDUSINDBK","EQ","19-Jan-2018","       1680.10","       1683.00","       1692.25","       1670.80","       1680.55","       1684.00","       1681.52","     497099","           835882350.10","      25916","     293087","         58.96"
"INDUSINDBK","EQ","22-Jan-2018","       1684.00","       1684.00","       1695.80","       1676.60","       1689.00","       1683.20","       1687.59","     820236","          1384225275.05","      63644","     445139","         54.27"
"INDUSINDBK","EQ","23-Jan-2018","       1683.20","       1690.00","       1730.00","       1680.00","       1729.00","       1723.35","       1708.96","    1763797","          3014249924.70","     138807","    1293987","         73.36"
"INDUSINDBK","EQ","24-Jan-2018","       1723.35","       1725.00","       1738.80","       1705.00","       1721.00","       1717.30","       1719.13","     968956","          1665756650.80","      43459","     638777","         65.92"
"INDUSINDBK","EQ","25-Jan-2018","       1717.30","       1723.00","       1735.35","       1703.70","       1730.00","       1730.20","       1723.66","    2169317","          3739156002.90","      66890","    1447109","         66.71"
"INDUSINDBK","EQ","29-Jan-2018","       1730.20","       1730.20","       1751.05","       1724.00","       1733.45","       1742.50","       1740.57","    1232573","          2145375384.25","      57045","     822189","         66.71"
"INDUSINDBK","EQ","30-Jan-2018","       1742.50","       1745.00","       1746.85","       1721.25","       1742.00","       1736.05","       1732.12","     653937","          1132697315.15","      46487","     422887","         64.67"
"INDUSINDBK","EQ","31-Jan-2018","       1736.05","       1735.00","       1761.00","       1725.10","       1750.00","       1753.10","       1745.55","    1237098","          2159419495.35","      65788","     838241","         67.76"
"INDUSINDBK","EQ","01-Feb-2018","       1753.10","       1754.00","       1817.80","       1733.85","       1783.00","       1795.45","       1789.77","    3720115","          6658136126.85","      79770","    2443984","         65.70"
"INDUSINDBK","EQ","02-Feb-2018","       1795.45","       1774.90","       1779.50","       1734.20","       1750.15","       1761.30","       1761.39","    2192706","          3862219248.15","      38901","    1673804","         76.34"
"INDUSINDBK","EQ","05-Feb-2018","       1761.30","       1721.00","       1739.05","       1683.05","       1715.00","       1713.00","       1710.56","    1600927","          2738473754.80","      87022","    1098378","         68.61"
"INDUSINDBK","EQ","06-Feb-2018","       1713.00","       1650.55","       1701.90","       1644.50","       1701.20","       1682.85","       1673.21","    1846944","          3090327827.10","      87931","    1274638","         69.01"
"INDUSINDBK","EQ","07-Feb-2018","       1682.85","       1704.00","       1717.15","       1658.60","       1665.00","       1661.75","       1677.19","    1423804","          2387994611.50","      90937","    1004827","         70.57"
"INDUSINDBK","EQ","08-Feb-2018","       1661.75","       1680.00","       1684.95","       1662.30","       1669.90","       1670.85","       1673.44","     801569","          1341377880.10","      47215","     563655","         70.32"
"INDUSINDBK","EQ","09-Feb-2018","       1670.85","       1650.00","       1659.55","       1635.60","       1651.00","       1649.85","       1649.97","    1206481","          1990659471.80","      45178","     859983","         71.28"
"INDUSINDBK","EQ","12-Feb-2018","       1649.85","       1649.85","       1700.00","       1645.20","       1696.10","       1687.80","       1670.08","     864259","          1443380261.20","      47091","     521404","         60.33"
"INDUSINDBK","EQ","14-Feb-2018","       1687.80","       1702.00","       1709.50","       1679.30","       1682.05","       1694.45","       1696.62","     884974","          1501463980.35","      34202","     577585","         65.27"
"INDUSINDBK","EQ","15-Feb-2018","       1694.45","       1696.00","       1703.65","       1669.00","       1685.65","       1686.15","       1689.39","     872147","          1473396675.25","      33117","     533051","         61.12"
"INDUSINDBK","EQ","16-Feb-2018","       1686.15","       1694.00","       1696.75","       1650.00","       1651.10","       1658.90","       1679.41","    1088167","          1827477210.40","      35383","     766741","         70.46"
"INDUSINDBK","EQ","19-Feb-2018","       1658.90","       1657.80","       1657.80","       1616.00","       1637.00","       1630.45","       1632.75","    1151645","          1880346800.95","      46042","     809629","         70.30"
"INDUSINDBK","EQ","20-Feb-2018","       1630.45","       1632.05","       1649.05","       1618.30","       1626.00","       1622.70","       1634.36","     859058","          1404008232.80","      38260","     463961","         54.01"
"INDUSINDBK","EQ","21-Feb-2018","       1622.70","       1636.00","       1636.00","       1590.00","       1597.00","       1594.25","       1605.24","    1425276","          2287904519.40","      56743","    1029759","         72.25"
"INDUSINDBK","EQ","22-Feb-2018","       1594.25","       1593.00","       1631.00","       1586.20","       1626.00","       1623.50","       1615.53","    2073919","          3350488172.95","      59422","    1427952","         68.85"
"INDUSINDBK","EQ","23-Feb-2018","       1623.50","       1623.50","       1647.85","       1619.00","       1647.85","       1643.50","       1637.81","     616552","          1009792127.35","      42012","     399095","         64.73"
"INDUSINDBK","EQ","26-Feb-2018","       1643.50","       1648.00","       1700.00","       1648.00","       1691.35","       1691.30","       1684.49","    1023854","          1724674445.65","      60451","     501660","         49.00"
"INDUSINDBK","EQ","27-Feb-2018","       1691.30","       1700.15","       1703.90","       1678.65","       1682.05","       1685.20","       1690.20","     529068","           894232234.45","      22863","     222326","         42.02"
"INDUSINDBK","EQ","28-Feb-2018","       1685.20","       1673.90","       1688.60","       1661.05","       1679.10","       1680.75","       1675.64","     913679","          1531001416.65","      41505","     537854","         58.87"
"INDUSINDBK","EQ","01-Mar-2018","       1680.75","       1674.75","       1708.95","       1673.50","       1700.00","       1700.35","       1697.76","     760617","          1291348283.20","      42037","     418356","         55.00"
"INDUSINDBK","EQ","05-Mar-2018","       1700.35","       1688.00","       1697.75","       1676.65","       1690.00","       1689.20","       1687.16","     789108","          1331350324.80","      39290","     446732","         56.61"
"INDUSINDBK","EQ","06-Mar-2018","       1689.20","       1705.00","       1732.00","       1700.05","       1710.00","       1710.30","       1717.50","    1674469","          2875901354.95","      67062","    1100731","         65.74"
"INDUSINDBK","EQ","07-Mar-2018","       1710.30","       1701.00","       1713.95","       1686.20","       1708.95","       1704.25","       1701.83","    1138136","          1936915069.90","      58402","     684232","         60.12"
"INDUSINDBK","EQ","08-Mar-2018","       1704.25","       1711.90","       1718.25","       1682.45","       1692.55","       1694.15","       1693.58","    1112679","          1884409736.75","      59177","     649091","         58.34"
"INDUSINDBK","EQ","09-Mar-2018","       1694.15","       1702.00","       1708.20","       1685.00","       1699.00","       1697.55","       1697.90","    1281268","          2175460750.60","      36104","    1031646","         80.52"
"INDUSINDBK","EQ","12-Mar-2018","       1697.55","       1705.00","       1738.80","       1705.00","       1734.90","       1735.30","       1724.06","     858788","          1480605477.10","      30453","     550464","         64.10"
"INDUSINDBK","EQ","13-Mar-2018","       1735.30","       1734.90","       1751.00","       1715.80","       1730.50","       1729.50","       1737.55","     797998","          1386561942.40","      28962","     466635","         58.48"
"INDUSINDBK","EQ","14-Mar-2018","       1729.50","       1724.00","       1736.55","       1710.65","       1732.50","       1733.35","       1722.68","     685008","          1180047766.50","      24343","     327164","         47.76"
"INDUSINDBK","EQ","15-Mar-2018","       1733.35","       1733.00","       1750.00","       1724.00","       1741.00","       1741.75","       1737.73","     604484","          1050431657.40","      19941","     329554","         54.52"
"INDUSINDBK","EQ","16-Mar-2018","       1741.75","       1741.00","       1753.35","       1720.00","       1729.95","       1724.70","       1731.66","    2412430","          4177498547.70","      54555","    1985397","         82.30"
"INDUSINDBK","EQ","19-Mar-2018","       1724.70","       1731.00","       1732.95","       1713.05","       1716.00","       1718.80","       1720.25","    1392321","          2395139624.70","      47433","    1056526","         75.88"
"INDUSINDBK","EQ","20-Mar-2018","       1718.80","       1711.10","       1738.00","       1702.10","       1718.05","       1716.65","       1719.17","     779431","          1339975118.45","      17144","     481964","         61.84"
"INDUSINDBK","EQ","21-Mar-2018","       1716.65","       1716.65","       1743.80","       1716.65","       1735.00","       1731.45","       1734.01","    1456002","          2524721289.80","      49546","    1076155","         73.91"
"INDUSINDBK","EQ","22-Mar-2018","       1731.45","       1737.80","       1762.90","       1735.10","       1753.90","       1753.10","       1748.36","    1549193","          2708551567.40","      61109","    1115921","         72.03"
"INDUSINDBK","EQ","23-Mar-2018","       1753.10","       1731.00","       1756.80","       1725.00","       1749.40","       1749.50","       1740.38","    1854651","          3227794800.50","      52724","    1364622","         73.58"
"INDUSINDBK","EQ","26-Mar-2018","       1749.50","       1751.70","       1773.10","       1748.20","       1759.45","       1759.75","       1759.66","    1796664","          3161518972.80","      58043","    1412055","         78.59"
"INDUSINDBK","EQ","27-Mar-2018","       1759.75","       1772.00","       1796.00","       1758.80","       1785.10","       1788.20","       1773.96","     852040","          1511486089.00","      38427","     489378","         57.44"
