"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"POWERGRID","EQ","01-Jan-2020","        190.25","        190.55","        195.90","        190.25","        195.45","        195.50","        193.78","    7661462","          1484612697.80","      27168","    3762688","         49.11"
"POWERGRID","EQ","02-Jan-2020","        195.50","        195.55","        196.70","        194.35","        195.20","        195.10","        195.15","    3191453","           622796824.75","      26046","    1098914","         34.43"
"POWERGRID","EQ","03-Jan-2020","        195.10","        194.25","        194.80","        191.25","        192.95","        193.00","        193.03","    4139027","           798938115.05","      38139","    2581533","         62.37"
"POWERGRID","EQ","06-Jan-2020","        193.00","        192.00","        193.95","        188.00","        192.60","        193.10","        191.21","    4137352","           791102523.60","      59715","    1890738","         45.70"
"POWERGRID","EQ","07-Jan-2020","        193.10","        193.15","        194.50","        191.15","        191.30","        191.70","        192.89","    7888340","          1521602532.85","      36312","    5176365","         65.62"
"POWERGRID","EQ","08-Jan-2020","        191.70","        190.30","        190.95","        188.85","        190.60","        190.55","        189.98","    5316615","          1010056590.30","      29676","    3614753","         67.99"
"POWERGRID","EQ","09-Jan-2020","        190.55","        191.95","        193.40","        191.15","        192.50","        192.95","        192.53","    4339607","           835504371.10","      43492","    2561083","         59.02"
"POWERGRID","EQ","10-Jan-2020","        192.95","        193.70","        193.70","        191.00","        192.40","        192.15","        192.34","    2316735","           445603442.75","      22092","    1061714","         45.83"
"POWERGRID","EQ","13-Jan-2020","        192.15","        192.40","        195.00","        191.80","        195.00","        194.80","        193.67","   15571488","          3015705661.70","      31280","   13951418","         89.60"
"POWERGRID","EQ","14-Jan-2020","        194.80","        194.80","        196.35","        194.25","        195.30","        195.25","        195.17","    3371803","           658091399.40","      35338","    2167894","         64.29"
"POWERGRID","EQ","15-Jan-2020","        195.25","        195.40","        195.80","        192.90","        194.30","        194.25","        194.08","    4001958","           776701589.70","      28478","    2356838","         58.89"
"POWERGRID","EQ","16-Jan-2020","        194.25","        194.10","        197.70","        194.10","        196.00","        196.45","        196.59","    4810695","           945711307.30","      31171","    2417208","         50.25"
"POWERGRID","EQ","17-Jan-2020","        196.45","        195.95","        197.85","        193.65","        197.30","        197.40","        196.38","    2642843","           518993397.50","      29672","    1204134","         45.56"
"POWERGRID","EQ","20-Jan-2020","        197.40","        204.40","        211.00","        203.25","        203.25","        204.65","        205.51","   27752535","          5703379690.05","     162397","   15162237","         54.63"
"POWERGRID","EQ","21-Jan-2020","        204.65","        203.65","        204.30","        199.00","        201.05","        200.60","        201.51","    9722202","          1959072927.75","      96666","    6044830","         62.18"
"POWERGRID","EQ","22-Jan-2020","        200.60","        200.50","        202.35","        193.05","        198.85","        200.05","        199.06","   31942726","          6358510017.85","     125793","   17438108","         54.59"
"POWERGRID","EQ","23-Jan-2020","        200.05","        196.75","        207.40","        193.90","        197.55","        201.95","        201.63","  127158366","         25638871156.70","     166985","   89372584","         70.28"
"POWERGRID","EQ","24-Jan-2020","        201.95","        196.45","        198.15","        194.25","        197.00","        196.95","        196.58","    9085322","          1785988785.25","      72650","    3236209","         35.62"
"POWERGRID","EQ","27-Jan-2020","        196.95","        196.40","        196.45","        192.30","        192.45","        193.00","        194.24","    4620331","           897447355.20","      76355","    1941608","         42.02"
"POWERGRID","EQ","28-Jan-2020","        193.00","        193.00","        193.00","        189.10","        190.20","        190.45","        190.60","    5160700","           983641682.75","      65371","    2402541","         46.55"
"POWERGRID","EQ","29-Jan-2020","        190.45","        190.45","        193.80","        189.25","        193.60","        192.40","        191.88","    9900054","          1899586450.15","      71608","    5846163","         59.05"
"POWERGRID","EQ","30-Jan-2020","        192.40","        192.40","        195.25","        191.40","        194.00","        194.40","        194.01","   14842148","          2879482876.10","      69866","    9538597","         64.27"
"POWERGRID","EQ","31-Jan-2020","        194.40","        195.30","        195.50","        185.10","        187.30","        186.85","        187.47","   35992338","          6747600008.35","     161904","   18392034","         51.10"
"POWERGRID","EQ","01-Feb-2020","        186.85","        186.80","        186.80","        176.95","        182.00","        182.40","        182.95","   23158633","          4236768079.15","     102319","    9990867","         43.14"
"POWERGRID","EQ","03-Feb-2020","        182.40","        180.90","        189.00","        177.45","        187.70","        187.35","        184.34","    9185232","          1693195677.25","      62147","    3240361","         35.28"
"POWERGRID","EQ","04-Feb-2020","        187.35","        188.35","        195.30","        188.00","        192.70","        194.35","        191.59","    7991654","          1531160161.95","      47585","    3742211","         46.83"
"POWERGRID","EQ","05-Feb-2020","        194.35","        194.10","        195.70","        188.00","        189.90","        189.35","        192.56","    8184571","          1576036568.00","      77848","    5023412","         61.38"
"POWERGRID","EQ","06-Feb-2020","        189.35","        189.95","        193.75","        188.65","        192.45","        192.90","        192.03","    5161300","           991136161.50","      58008","    2472297","         47.90"
"POWERGRID","EQ","07-Feb-2020","        192.90","        192.80","        192.80","        188.55","        190.50","        190.40","        190.01","   10157885","          1930127846.65","      78987","    6187839","         60.92"
"POWERGRID","EQ","10-Feb-2020","        190.40","        190.70","        191.10","        184.75","        188.10","        186.60","        187.86","   17140398","          3219930387.70","      82901","   12422696","         72.48"
"POWERGRID","EQ","11-Feb-2020","        186.60","        188.50","        191.20","        188.10","        189.60","        189.50","        189.74","   18256826","          3463981281.00","     139891","   12309176","         67.42"
"POWERGRID","EQ","12-Feb-2020","        189.50","        190.05","        191.90","        188.55","        189.05","        189.35","        189.90","    9217663","          1750415704.25","      42903","    6382260","         69.24"
"POWERGRID","EQ","13-Feb-2020","        189.35","        188.80","        191.15","        187.70","        190.15","        190.55","        189.91","   10451879","          1984912270.60","      50545","    7404879","         70.85"
