"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NESTLEIND","EQ","01-Jan-2020","      14785.35","      14819.00","      14849.35","      14712.25","      14766.05","      14779.05","      14774.53","      23859","           352505416.85","       5858","       6540","         27.41"
"NESTLEIND","EQ","02-Jan-2020","      14779.05","      14848.90","      14852.95","      14687.15","      14729.00","      14729.35","      14742.53","      46116","           679866474.70","      12734","      26831","         58.18"
"NESTLEIND","EQ","03-Jan-2020","      14729.35","      14750.00","      14795.00","      14556.10","      14586.20","      14593.60","      14624.11","      40000","           584964235.25","      12777","      19845","         49.61"
"NESTLEIND","EQ","06-Jan-2020","      14593.60","      14542.00","      14542.00","      14275.00","      14374.00","      14416.65","      14374.36","      65136","           936288333.90","      22616","      37126","         57.00"
"NESTLEIND","EQ","07-Jan-2020","      14416.65","      14423.55","      14546.75","      14260.85","      14319.00","      14290.75","      14363.53","      72237","          1037578366.40","      17322","      43123","         59.70"
"NESTLEIND","EQ","08-Jan-2020","      14290.75","      14191.60","      14450.00","      14120.35","      14386.00","      14391.25","      14300.66","      39488","           564704354.80","      12492","      15245","         38.61"
"NESTLEIND","EQ","09-Jan-2020","      14391.25","      14495.00","      14675.00","      14450.00","      14654.95","      14643.45","      14607.71","      55708","           813766438.70","      18285","      36062","         64.73"
"NESTLEIND","EQ","10-Jan-2020","      14643.45","      14643.45","      14718.90","      14570.25","      14655.10","      14685.85","      14635.02","      39274","           574775723.10","      11367","      23823","         60.66"
"NESTLEIND","EQ","13-Jan-2020","      14685.85","      14747.90","      14747.90","      14601.00","      14665.00","      14658.25","      14666.10","      26990","           395838029.30","       9595","      14104","         52.26"
"NESTLEIND","EQ","14-Jan-2020","      14658.25","      14657.90","      14895.00","      14607.00","      14860.00","      14868.60","      14797.85","      50378","           745486157.75","      15477","      24962","         49.55"
"NESTLEIND","EQ","15-Jan-2020","      14868.60","      14828.00","      14950.00","      14718.85","      14822.80","      14860.20","      14837.54","      41468","           615283217.50","      12078","      19325","         46.60"
"NESTLEIND","EQ","16-Jan-2020","      14860.20","      14851.00","      15398.00","      14848.10","      15368.45","      15354.90","      15192.01","     203208","          3087138187.05","      43878","     115380","         56.78"
"NESTLEIND","EQ","17-Jan-2020","      15354.90","      15399.00","      15600.00","      15358.65","      15428.20","      15439.45","      15465.34","      96399","          1490843672.20","      25802","      41658","         43.21"
"NESTLEIND","EQ","20-Jan-2020","      15439.45","      15230.15","      15479.40","      15230.15","      15403.85","      15417.25","      15395.95","      68770","          1058779414.40","      20790","      38833","         56.47"
"NESTLEIND","EQ","21-Jan-2020","      15417.25","      15361.05","      15501.60","      15200.00","      15270.25","      15280.75","      15337.86","      63258","           970242398.10","      18689","      35411","         55.98"
"NESTLEIND","EQ","22-Jan-2020","      15280.75","      15369.00","      15585.00","      15301.00","      15561.80","      15548.70","      15484.83","      55627","           861374551.55","      14173","      23027","         41.40"
"NESTLEIND","EQ","23-Jan-2020","      15548.70","      15500.00","      15625.00","      15455.00","      15550.00","      15548.85","      15545.99","      42861","           666316891.10","      12672","      20099","         46.89"
"NESTLEIND","EQ","24-Jan-2020","      15548.85","      15600.00","      15850.00","      15500.15","      15763.00","      15755.50","      15716.07","      50632","           795736266.60","      12966","      20922","         41.32"
"NESTLEIND","EQ","27-Jan-2020","      15755.50","      15700.00","      15845.00","      15559.95","      15634.95","      15666.05","      15751.50","      31362","           493998685.25","      10128","      11863","         37.83"
"NESTLEIND","EQ","28-Jan-2020","      15666.05","      15664.00","      15710.00","      15366.80","      15425.00","      15416.65","      15478.84","      53107","           822035018.10","      20635","      23208","         43.70"
"NESTLEIND","EQ","29-Jan-2020","      15416.65","      15585.00","      15899.95","      15440.00","      15858.30","      15866.75","      15746.64","      64251","          1011737561.05","      19226","      27103","         42.18"
"NESTLEIND","EQ","30-Jan-2020","      15866.75","      15802.00","      15810.85","      15471.25","      15623.00","      15520.80","      15627.43","      47252","           738427425.30","      14481","      23453","         49.63"
"NESTLEIND","EQ","31-Jan-2020","      15520.80","      15560.00","      15637.25","      15310.30","      15363.75","      15359.45","      15436.18","      59649","           920752573.80","      18075","      34594","         58.00"
"NESTLEIND","EQ","01-Feb-2020","      15359.45","      15300.00","      15661.75","      15184.40","      15619.95","      15524.75","      15438.19","      42181","           651198398.45","       9729","      15961","         37.84"
"NESTLEIND","EQ","03-Feb-2020","      15524.75","      15589.00","      16500.00","      15530.00","      16300.00","      16301.00","      16236.56","     203752","          3308232466.75","      49666","      78876","         38.71"
"NESTLEIND","EQ","04-Feb-2020","      16301.00","      16400.00","      16507.90","      16127.05","      16470.00","      16455.60","      16367.51","     116416","          1905440271.30","      29932","      46192","         39.68"
"NESTLEIND","EQ","05-Feb-2020","      16455.60","      16476.00","      16481.90","      16256.05","      16350.00","      16384.85","      16335.77","      57511","           939486211.65","      15347","      26904","         46.78"
"NESTLEIND","EQ","06-Feb-2020","      16384.85","      16399.00","      16549.45","      16157.80","      16337.00","      16284.95","      16334.87","      74084","          1210152802.80","      16534","      35223","         47.54"
"NESTLEIND","EQ","07-Feb-2020","      16284.95","      16340.00","      16385.00","      16194.60","      16275.00","      16327.80","      16316.34","      41407","           675610746.95","      12298","      21469","         51.85"
"NESTLEIND","EQ","10-Feb-2020","      16327.80","      16300.00","      16373.10","      16112.00","      16193.00","      16172.20","      16201.62","      61270","           992673396.15","      18559","      34369","         56.09"
"NESTLEIND","EQ","11-Feb-2020","      16172.20","      16240.00","      16300.05","      15950.00","      16059.00","      15997.15","      16068.49","      73350","          1178623384.85","      24427","      40408","         55.09"
"NESTLEIND","EQ","12-Feb-2020","      15997.15","      16026.00","      16472.60","      15968.45","      16280.00","      16297.70","      16312.78","     129011","          2104527970.45","      32158","      41865","         32.45"
